timestamp,task,status,exit_code,elapsed_s,args
2026-03-11 08:51:15,WeChat Reconcile,success,0,3.08,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.11.xlsx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.11.xlsx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260310_145153.xlsx --no-interactive
2026-03-12 01:23:31,WeChat Reconcile,failed,1,0.87,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.12.xlsx --wechat D:/Data/Data/GitHub/mianhuaguo/data/orders_20260312_011759.xlsx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260310_145153.xlsx --no-interactive
2026-03-12 08:22:36,WeChat Reconcile,success,0,3.85,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.12.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/vx_order_3.12.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260311_210140.xlsx --no-interactive
2026-03-12 08:48:06,WeChat Reconcile,success,0,1.97,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.12.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/vx_order_3.12.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260311_210140.xlsx --no-interactive
2026-03-14 08:35:50,WeChat Reconcile,success,0,2.39,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.14.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/单号群_314.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260313_152819.xlsx --no-interactive
2026-03-15 09:07:02,WeChat Reconcile,success,0,2.58,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.14.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.15.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260314_154538.xlsx --no-interactive
2026-03-16 09:08:46,WeChat Reconcile,success,0,2.75,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:\Data\Data\GitHub\mianhuaguo\data\wechat_shipment_log.xlsx --output D:\Data\Data\GitHub\mianhuaguo\data\reconcile_result_gui_3.16.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.16.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260315_124735.xlsx --no-interactive
2026-03-17 07:46:36,WeChat Reconcile,success,0,3.20,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.17.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.17.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260316_135146.xlsx --no-interactive
2026-03-17 08:00:06,Order Query,success,0,1.87,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie  --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.17.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-17 08:03:39,Order Query,failed,62097,15.35,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie  --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
